Date,US,JP,WORLD
2020-02-29,269.3777770996094,134.99253845214844,64.71475219726562
2020-03-31,235.740234375,126.97574615478516,56.03655242919922
2020-04-30,265.67535400390625,132.1478729248047,61.544376373291016
2020-05-31,278.3335876464844,141.37149047851562,64.67892456054688
2020-06-30,283.2697448730469,140.68186950683594,66.58084869384766
2020-07-31,299.9520263671875,135.7071990966797,70.1483154296875
2020-08-31,320.8877258300781,146.09205627441406,74.3750991821289
2020-09-30,308.87249755859375,148.3802490234375,72.180419921875
2020-10-31,301.1712646484375,144.419921875,70.57279205322266
2020-11-30,333.931640625,159.99720764160156,78.87283325195312
2020-12-31,346.30316162109375,165.0136413574219,82.56983184814453
2021-01-31,342.7742919921875,165.2776336669922,82.31498718261719
2021-02-28,352.3053283691406,170.64610290527344,84.19901275634766
2021-03-31,368.2996826171875,180.59091186523438,86.60183715820312
2021-04-30,387.78662109375,175.39849853515625,90.27890014648438
2021-05-31,390.33282470703125,177.59864807128906,91.60771942138672
2021-06-30,399.0870056152344,179.5348358154297,92.76280212402344
2021-07-31,408.82977294921875,175.91711425781253,93.6061782836914
2021-08-31,420.9965515136719,181.47618103027344,95.64128875732422
2021-09-30,401.375732421875,189.63546752929688,91.59854888916016
2021-10-31,429.5376892089844,186.6765899658203,96.5396728515625
2021-11-30,426.0863342285156,180.04159545898438,94.31204986572266
2021-12-31,445.79193115234375,185.9144744873047,97.97876739501953
2022-01-31,422.2802429199219,176.94825744628906,93.52350616455078
2022-02-28,409.8158264160156,176.36544799804688,90.66139221191406
2022-03-31,425.2210388183594,183.7177276611328,92.42127227783203
2022-04-30,387.8998107910156,179.32427978515625,84.96495056152344
2022-05-31,388.7752990722656,180.66921997070312,85.34471893310547
2022-06-30,356.7167663574219,177.03790283203125,78.4258804321289
2022-07-31,389.5659484863281,183.5655975341797,83.96964263916016
2022-08-31,373.6708068847656,187.7448272705078,80.30496215820312
2022-09-30,339.12652587890625,175.574462890625,72.7605972290039
2022-10-31,366.689208984375,184.34632873535156,77.37882995605469
2022-11-30,387.07403564453125,189.8114776611328,83.82941436767578
2022-12-31,364.7676696777344,181.3611297607422,79.96483612060547
2023-01-31,387.7068786621094,189.39816284179688,85.96597290039062
2023-02-28,377.9589538574219,191.05149841308594,83.1114273071289
2023-03-31,391.9727783203125,194.63368225097656,85.88118743896484
2023-04-30,398.2344970703125,199.73147583007815,87.22837829589844
2023-05-31,400.0729064941406,206.71221923828128,86.31455993652344
2023-06-30,425.99749755859375,222.23512268066406,91.30724334716797
2023-07-31,439.9417724609375,225.56893920898438,94.59063720703125
2023-08-31,432.7918395996094,226.36746215820312,91.8401870727539
2023-09-30,412.2625427246094,228.05853271484378,87.90962219238281
2023-10-31,403.3128967285156,221.38822937011722,85.67310333251953
2023-11-30,440.15301513671875,233.17869567871097,93.28679656982422
2023-12-31,460.2484130859375,232.4740905761719,97.77652740478516
2024-01-31,467.57855224609375,250.84091186523438,98.04554748535156
2024-02-29,491.9800109863281,263.5238952636719,102.46504211425781
2024-03-31,508.0687561035156,274.6567077636719,105.80848693847656
2024-04-30,487.5835876464844,271.791259765625,102.05191040039062
2024-05-31,512.2454223632812,277.14630126953125,106.72120666503906
2024-06-30,530.3175659179688,278.8843688964844,108.89598846435547
2024-07-31,536.7391357421875,277.8494567871094,110.57205200195312
2024-08-31,549.2803955078125,269.2759704589844,113.33320617675781
2024-09-30,560.8178100585938,265.06103515625,115.82308959960938
2024-10-31,555.8133544921875,269.9465026855469,113.40103149414062
2024-11-30,588.9583129882812,268.6532897949219,117.973876953125
2024-12-31,574.7880249023438,279.6216735839844,114.83787536621094
2025-01-31,590.2247314453125,280.1964111328125,118.44427490234375
2025-02-28,582.7318725585938,269.51544189453125,118.0924301147461
2025-03-31,550.2625732421875,270.5212707519531,113.75302124023438
2025-04-30,545.49169921875,271.5271301269531,114.33942413330078
2025-05-31,579.7731323242188,284.7466125488281,120.84854125976562
2025-06-30,609.5653076171875,290.2547607421875,126.6571044921875
2025-07-31,623.6046752929688,299.8394775390625,127.99655151367188
2025-08-31,636.4005737304688,313.5755615234375,131.42398071289062
2025-09-30,659.0695190429688,322.111572265625,136.15145874023438
2025-10-31,674.780029296875,342.6176147460938,139.27357482910156
2025-11-30,676.0958251953125,347.52337646484375,139.33267211914062
2025-12-31,676.635009765625,351.15362548828125,140.5767059326172
2026-01-31,686.6071166992188,367.34259033203125,144.56082153320312
2026-02-28,680.6734619140625,405.3131103515625,146.42868041992188
2026-03-31,647.0621337890625,364.3991470336914,137.47683715820312
2026-04-30,715.0377197265625,386.6712646484375,150.5618133544922
2026-05-31,752.6671142578125,410.0226135253906,157.51663208007812
2026-06-30,744.9202270507812,415.61517333984375,156.97000122070312
2026-07-31,745.1796264648438,417.20001220703125,156.42999267578125
2026-08-31,765.1499633789062,433.5,160.67999267578125
2026-09-30,771.3499755859375,430.29998779296875,161.0500030517578
