日本株,米国株,為替,日本比率,20年後の倍率,最善比
右肩上がり,一進一退,横ばい,0.0,2.198931447539137,0.37934740136932804
右肩上がり,一進一退,横ばい,0.1,2.492800613820302,0.4300440725620969
右肩上がり,一進一退,横ばい,0.2,2.8057184024893758,0.4840269059545131
右肩上がり,一進一退,横ばい,0.3,3.1365577440026278,0.5411014657886746
右肩上がり,一進一退,横ばい,0.5,3.845964663203866,0.6634843948306773
右肩上がり,一進一退,横ばい,1.0,5.796616609476346,1.0
右肩上がり,一進一退,円高2%/年,0.0,1.4680241637200808,0.25325534921874004
右肩上がり,一進一退,円高2%/年,0.1,1.737345368417231,0.29971714285485224
右肩上がり,一進一退,円高2%/年,0.2,2.039697837452556,0.3518773061716804
右肩上がり,一進一退,円高2%/年,0.3,2.3767883975924557,0.41003029141290226
右肩上がり,一進一退,円高2%/年,0.5,3.160888967772492,0.5452989529452492
右肩上がり,一進一退,円高2%/年,1.0,5.796616609476346,1.0
右肩上がり,一進一退,円安2%/年,0.0,3.2674964584057364,0.563690283235916
右肩上がり,一進一退,円安2%/年,0.1,3.5539188814367173,0.6131022837747709
右肩上がり,一進一退,円安2%/年,0.2,3.8401350777756424,0.662478707233762
右肩上がり,一進一退,円安2%/年,0.3,4.123478983026681,0.7113596190380421
右肩上がり,一進一退,円安2%/年,0.5,4.6705493614634035,0.805737152570684
右肩上がり,一進一退,円安2%/年,1.0,5.796616609476346,1.0
右肩上がり,右肩上がり,横ばい,0.0,5.796616609476346,1.0
右肩上がり,右肩上がり,横ばい,0.1,5.796616609476338,0.9999999999999987
右肩上がり,右肩上がり,横ばい,0.2,5.796616609476346,1.0
右肩上がり,右肩上がり,横ばい,0.3,5.796616609476337,0.9999999999999984
右肩上がり,右肩上がり,横ばい,0.5,5.796616609476346,1.0
右肩上がり,右肩上がり,横ばい,1.0,5.796616609476346,1.0
右肩上がり,右肩上がり,円高2%/年,0.0,3.869867457694359,0.6676079717550881
右肩上がり,右肩上がり,円高2%/年,0.1,4.030921426334407,0.6953921050677443
右肩上がり,右肩上がり,円高2%/年,0.2,4.1983297412982115,0.7242724548031614
右肩上がり,右肩上がり,円高2%/年,0.3,4.372329426186795,0.7542899109523447
右肩上がり,右肩上がり,円高2%/年,0.5,4.741092939482014,0.8179069375972261
右肩上がり,右肩上がり,円高2%/年,1.0,5.796616609476346,1.0
右肩上がり,右肩上がり,円安2%/年,0.0,8.613467356336358,1.0
右肩上がり,右肩上がり,円安2%/年,0.1,8.281902948705767,0.9615062791888703
右肩上がり,右肩上がり,円安2%/年,0.2,7.9624869922742265,0.9244229603327807
右肩上がり,右肩上がり,円安2%/年,0.3,7.654796979981937,0.888700991517755
右肩上がり,右肩上がり,円安2%/年,0.5,7.072973852280027,0.8211529178289517
右肩上がり,右肩上がり,円安2%/年,1.0,5.796616609476346,0.6729713331080496
