Date,US,JP
1981-01-31,129.5500030517578,7254.009765625
1981-02-28,131.27000427246094,7146.52978515625
1981-03-31,136.0,7334.31005859375
1981-04-30,132.80999755859375,7674.18994140625
1981-05-31,132.58999633789062,7539.68994140625
1981-06-30,131.2100067138672,7867.419921875
1981-07-31,130.9199981689453,7828.259765625
1981-08-31,122.79000091552734,7815.77978515625
1981-09-30,116.18000030517578,7455.5
1981-10-31,121.88999938964844,7449.4599609375
1981-11-30,126.3499984741211,7549.330078125
1981-12-31,122.55000305175781,7681.83984375
1982-01-31,120.4000015258789,7918.81982421875
1982-02-28,113.11000061035156,7548.509765625
1982-03-31,111.95999908447266,7260.47998046875
1982-04-30,116.44000244140625,7390.7099609375
1982-05-31,111.87999725341797,7325.64990234375
1982-06-30,109.61000061035156,7213.8701171875
1982-07-31,107.08999633789062,7122.080078125
1982-08-31,119.51000213623047,7123.3798828125
1982-09-30,120.41999816894531,6910.72998046875
1982-10-31,133.72000122070312,7259.14990234375
1982-11-30,138.52999877929688,7895.6201171875
1982-12-31,140.63999938964844,8016.669921875
1983-01-31,145.3000030517578,8103.47021484375
1983-02-28,148.05999755859375,8085.56982421875
1983-03-31,152.9600067138672,8478.7001953125
1983-04-30,164.42999267578125,8636.5595703125
1983-05-31,162.38999938964844,8617.5703125
1983-06-30,167.63999938964844,8870.9501953125
1983-07-31,162.55999755859375,9078.75
1983-08-31,164.39999389648438,9189.4296875
1983-09-30,166.07000732421875,9402.58984375
1983-10-31,163.5500030517578,9356.7900390625
1983-11-30,166.39999389648438,9320.240234375
1983-12-31,164.92999267578125,9893.8203125
1984-01-31,163.41000366210938,10196.099609375
1984-02-29,157.05999755859375,10030.7001953125
1984-03-31,159.17999267578125,10929.169921875
1984-04-30,160.0500030517578,10981.6796875
1984-05-31,150.5500030517578,9940.1396484375
1984-06-30,153.17999267578125,10377.9697265625
1984-07-31,150.66000366210938,9998.5
1984-08-31,166.67999267578125,10584.2001953125
1984-09-30,166.10000610351562,10649.25
1984-10-31,166.08999633789062,11252.98046875
1984-11-30,163.5800018310547,11428.900390625
1984-12-31,167.24000549316406,11542.599609375
1985-01-31,179.6300048828125,11992.3095703125
1985-02-28,181.17999267578125,12321.919921875
1985-03-31,180.66000366210938,12580.759765625
1985-04-30,179.8300018310547,12426.2900390625
1985-05-31,189.5500030517578,12758.4599609375
1985-06-30,191.85000610351562,12882.08984375
1985-07-31,190.9199981689453,12232.26953125
1985-08-31,188.6300048828125,12713.150390625
1985-09-30,182.0800018310547,12700.1103515625
1985-10-31,189.82000732421875,12936.4697265625
1985-11-30,202.1699981689453,12763.26953125
1985-12-31,211.27999877929688,13083.1796875
1986-01-31,211.77999877929688,13024.2998046875
1986-02-28,226.9199981689453,13640.830078125
1986-03-31,238.89999389648438,15859.75
1986-04-30,235.52000427246094,15825.5
1986-05-31,247.35000610351562,16670.76953125
1986-06-30,250.83999633789062,17654.189453125
1986-07-31,236.1199951171875,17509.7109375
1986-08-31,252.92999267578125,18533.6796875
1986-09-30,231.32000732421875,17852.859375
1986-10-31,243.97999572753906,16910.630859375
1986-11-30,249.22000122070312,18083.01953125
1986-12-31,242.1699981689453,18820.650390625
1987-01-31,274.0799865722656,20048.349609375
1987-02-28,284.20001220703125,20421.66015625
1987-03-31,291.70001220703125,21566.66015625
1987-04-30,288.3599853515625,23274.830078125
1987-05-31,290.1000061035156,24772.390625
1987-06-30,304.0,24176.400390625
1987-07-31,318.6600036621094,24488.109375
1987-08-31,329.79998779296875,26029.220703125
1987-09-30,321.8299865722656,26010.880859375
1987-10-31,251.7899932861328,22765.0390625
1987-11-30,230.3000030517578,22686.779296875
1987-12-31,247.0800018310547,21564.0
1988-01-31,257.07000732421875,23622.3203125
1988-02-29,267.82000732421875,25242.810546875
1988-03-31,258.8900146484375,26260.259765625
1988-04-30,261.3299865722656,27434.119140625
1988-05-31,262.1600036621094,27416.69921875
1988-06-30,273.5,27769.400390625
1988-07-31,272.0199890136719,27911.630859375
1988-08-31,261.5199890136719,27365.94921875
1988-09-30,271.9100036621094,27923.669921875
1988-10-31,278.9700012207031,27982.5390625
1988-11-30,273.70001220703125,29578.900390625
1988-12-31,277.7200012207031,30159.0
1989-01-31,297.4700012207031,31581.30078125
1989-02-28,288.8599853515625,31985.599609375
1989-03-31,294.8699951171875,32838.6796875
1989-04-30,309.6400146484375,33713.3515625
1989-05-31,320.5199890136719,34266.75
1989-06-30,317.9800109863281,32948.69140625
1989-07-31,346.0799865722656,34953.87109375
1989-08-31,351.45001220703125,34431.19921875
1989-09-30,349.1499938964844,35636.76171875
1989-10-31,340.3599853515625,35549.44140625
1989-11-30,345.989990234375,37268.7890625
1989-12-31,353.3999938964844,38915.87109375
1990-01-31,329.0799865722656,37188.94921875
1990-02-28,331.8900146484375,34591.98828125
1990-03-31,339.94000244140625,29980.44921875
1990-04-30,330.79998779296875,29584.80078125
1990-05-31,361.2300109863281,33130.80078125
1990-06-30,358.0199890136719,31940.240234375
1990-07-31,356.1499938964844,31035.66015625
1990-08-31,322.55999755859375,25978.369140625
1990-09-30,306.04998779296875,20983.5
1990-10-31,304.0,25194.099609375
1990-11-30,322.2200012207031,22454.630859375
1990-12-31,330.2200012207031,23848.7109375
1991-01-31,343.92999267578125,23293.140625
1991-02-28,367.07000732421875,26409.220703125
1991-03-31,375.2200012207031,26292.0390625
1991-04-30,375.3399963378906,26111.25
1991-05-31,389.8299865722656,25789.619140625
1991-06-30,371.1600036621094,23290.9609375
1991-07-31,387.80999755859375,24120.75
1991-08-31,395.42999267578125,22335.869140625
1991-09-30,387.8599853515625,23916.439453125
1991-10-31,392.45001220703125,25222.279296875
1991-11-30,375.2200012207031,22687.349609375
1991-12-31,417.0899963378906,22983.76953125
1992-01-31,408.7799987792969,22023.05078125
1992-02-29,412.70001220703125,21338.810546875
1992-03-31,403.69000244140625,19345.94921875
1992-04-30,414.95001220703125,17390.7109375
1992-05-31,415.3500061035156,18347.75
1992-06-30,408.1400146484375,15951.73046875
1992-07-31,424.2099914550781,15910.2802734375
1992-08-31,414.0299987792969,18061.119140625
1992-09-30,417.79998779296875,17399.080078125
1992-10-31,418.67999267578125,16767.400390625
1992-11-30,431.3500061035156,17683.650390625
1992-12-31,435.7099914550781,16924.94921875
1993-01-31,438.7799987792969,17023.779296875
1993-02-28,443.3800048828125,16953.349609375
1993-03-31,451.6700134277344,18591.44921875
1993-04-30,440.19000244140625,20919.1796875
1993-05-31,450.19000244140625,20552.349609375
1993-06-30,450.5299987792969,19590.0
1993-07-31,448.1300048828125,20380.140625
1993-08-31,463.55999755859375,21026.599609375
1993-09-30,458.92999267578125,20105.7109375
1993-10-31,467.8299865722656,19702.970703125
